p1 variance
0 0.0
0.02 0.0
0.04 0.0
0.06 0.0
0.08 1e-06
0.1 1e-06
0.12 1e-06
0.14 1e-06
0.16 2e-06
0.18 3e-06
0.2 2e-06
0.22 5e-06
0.24 3e-06
0.26 1.3e-05
0.28 2e-05
0.3 0.000186
0.32 0.000336
0.34 0.000257
0.36 0.000255
0.38 0.000238
0.4 0.000213
0.42 0.000202
0.44 0.000177
0.46 0.00018
0.48 0.000182
0.5 0.000185
0.52 0.000187
0.54 0.000179
0.56 0.000154
0.58 0.000161
0.6 0.000142
0.62 0.000167
0.64 0.000159
0.66 0.000161
0.68 0.000154
0.7 0.000149
0.72 0.000154
0.74 0.000149
0.76 0.00014
0.78 0.000141
0.8 0.000145
0.82 0.00014
0.84 0.000145
0.86 0.000146
0.88 0.000137
0.9 0.000137
0.92 0.000137
0.94 0.000137
0.96 0.000146
0.98 0.000137
